dataset,rows,cols,sample_exponent,copy_PLIs,tiebreaker_heuristic,t_total,t_total_prep,t_read_table,t_create_subtable,t_construct_clusters,t_total_enum_algo,t_sample_diff_sets,t_intersect_clusters,tree_complexity,tree_nodes,diff_sets,diff_sets_initial,diff_sets_final,intersections,intersection_cluster_size,ucc_count,memory
uniprot_r539166_c223,539166,40,0.3,1,1,6.99299,6.90996,4.03511,0,0.608139,0.0830285,0.0434505,0.0346274,219,97,43249,43160,10,80,4192119,41,871016
uniprot_r539166_c223,539166,40,0.3,1,1,6.98137,6.90679,4.02921,0,0.609866,0.0745733,0.043262,0.026822,111,86,43204,43160,10,74,3235210,41,871284
uniprot_r539166_c223,539166,60,0.3,1,1,9.15351,8.97013,5.32931,0,0.778533,0.183384,0.114035,0.061033,374,162,77840,77764,10,150,5542816,89,1136468
uniprot_r539166_c223,539166,60,0.3,1,1,9.0855,8.91266,5.2896,0,0.771495,0.172841,0.114144,0.0511278,289,161,77848,77764,10,145,4075422,89,1136380
uniprot_r539166_c223,539166,60,0.3,1,1,9.03089,8.89946,5.27594,0,0.772597,0.131429,0.113286,0.0138946,269,170,77813,77764,10,139,1746746,89,1136540
uniprot_r539166_c223,539166,60,0.3,1,1,9.05571,8.91371,5.28768,0,0.774614,0.141995,0.113111,0.0244685,96,137,77821,77764,10,125,3071479,89,1136160
uniprot_r539166_c223,539166,60,0.3,1,1,9.1067,8.89972,5.27178,0,0.780186,0.206972,0.114144,0.0819799,318,180,77878,77764,10,157,5589055,89,1136416
uniprot_r539166_c223,539166,60,0.3,1,1,9.0734,8.89425,5.26955,0,0.771494,0.179148,0.114212,0.0568603,238,173,77884,77764,10,152,4943570,89,1136508
uniprot_r539166_c223,539166,60,0.3,1,1,9.05117,8.8716,5.25543,0,0.765636,0.179573,0.113888,0.0567891,321,167,77852,77764,10,147,4274205,89,1136324
uniprot_r539166_c223,539166,60,0.3,1,1,8.94604,8.80866,5.21766,0,0.762681,0.137373,0.113051,0.0201269,121,157,77808,77764,10,134,2419603,89,1136452
uniprot_r539166_c223,539166,60,0.3,1,1,8.99945,8.83864,5.24842,0,0.765143,0.160808,0.113073,0.0399487,243,181,77836,77764,10,155,3663149,89,1136380
uniprot_r539166_c223,539166,60,0.3,1,1,8.96481,8.8171,5.23043,0,0.761698,0.147708,0.113223,0.0233104,253,165,77816,77764,10,141,2026119,89,1136524
uniprot_r539166_c223,539166,60,0.3,1,1,8.97065,8.83059,5.23653,0,0.761175,0.140065,0.112863,0.0242327,349,188,77842,77764,10,169,3949881,89,1136428
uniprot_r539166_c223,539166,60,0.3,1,1,8.97715,8.8255,5.23898,0,0.761187,0.151655,0.113165,0.0336261,308,171,77804,77764,10,158,4990407,89,1136448
uniprot_r539166_c223,539166,60,0.3,1,1,8.97186,8.82969,5.23005,0,0.76489,0.142176,0.113236,0.0222338,171,164,77841,77764,10,143,2290470,89,1136456
uniprot_r539166_c223,539166,60,0.3,1,1,8.97574,8.82707,5.23859,0,0.762271,0.148678,0.113283,0.0300308,375,180,77872,77764,10,137,2253624,89,1136472
uniprot_r539166_c223,539166,60,0.3,1,1,9.02086,8.8259,5.23862,0,0.762736,0.194958,0.112895,0.0726308,385,162,77864,77764,10,148,6314633,89,1136384
uniprot_r539166_c223,539166,80,0.3,1,1,10.9091,10.5694,6.38282,0,0.906393,0.339725,0.230775,0.0487838,604,228,116029,115933,10,214,5073744,161,1379860
uniprot_r539166_c223,539166,80,0.3,1,1,10.8493,10.5363,6.34723,0,0.909072,0.313,0.226251,0.0288114,159,237,115981,115933,10,227,3063056,161,1379740
uniprot_r539166_c223,539166,80,0.3,1,1,10.8208,10.4966,6.30175,0,0.906913,0.324251,0.229442,0.0363235,390,246,115983,115933,10,226,3926731,161,1379568
uniprot_r539166_c223,539166,80,0.3,1,1,10.8303,10.5003,6.31061,0,0.907013,0.330052,0.229922,0.0423642,412,261,116006,115933,10,241,5509440,161,1379956
uniprot_r539166_c223,539166,80,0.3,1,1,10.8507,10.5231,6.32875,0,0.909306,0.327595,0.228958,0.0405072,354,257,116021,115933,10,239,5549427,161,1379816
uniprot_r539166_c223,539166,80,0.3,1,1,10.8035,10.4962,6.30144,0,0.908239,0.307334,0.228823,0.0212228,512,268,116012,115933,10,242,2428596,161,1379628
uniprot_r539166_c223,539166,80,0.3,1,1,10.8636,10.4827,6.30496,0,0.906261,0.380873,0.232539,0.0852381,566,255,116021,115933,10,238,6881227,161,1379816
uniprot_r539166_c223,539166,80,0.3,1,1,10.829,10.4994,6.3036,0,0.906268,0.329638,0.231216,0.0403906,461,274,115991,115933,10,260,5900179,161,1379840
uniprot_r539166_c223,539166,80,0.3,1,1,10.8272,10.5032,6.30615,0,0.911113,0.324031,0.228592,0.0374711,425,272,116006,115933,10,248,5288339,161,1379728
uniprot_r539166_c223,539166,80,0.3,1,1,10.8031,10.507,6.31608,0,0.905785,0.296108,0.228704,0.0120477,479,266,116008,115933,10,239,1334743,161,1379816
uniprot_r539166_c223,539166,80,0.3,1,1,10.8559,10.5136,6.31892,0,0.909108,0.342292,0.229567,0.0527136,563,269,115976,115933,10,246,4849986,161,1379800
uniprot_r539166_c223,539166,80,0.3,1,1,10.8144,10.4948,6.29714,0,0.91395,0.319598,0.227772,0.0340111,506,243,115999,115933,10,221,4075990,161,1379612
uniprot_r539166_c223,539166,80,0.3,1,1,10.8486,10.4834,6.29907,0,0.90593,0.365224,0.229744,0.0724621,830,269,116034,115933,10,240,7513109,161,1379800
uniprot_r539166_c223,539166,80,0.3,1,1,10.797,10.5022,6.31261,0,0.90508,0.294752,0.23155,0.00730687,494,235,116006,115933,10,207,772827,161,1379852
uniprot_r539166_c223,539166,80,0.3,1,1,10.8248,10.5122,6.32004,0,0.904925,0.312531,0.228575,0.0267784,686,255,116026,115933,10,224,2780070,161,1379816
uniprot_r539166_c223,539166,100,0.3,1,1,11.9659,11.5428,7.07296,0,0.978411,0.42315,0.391416,0.0269862,250,389,155569,155498,10,371,3196204,269,1545228
uniprot_r539166_c223,539166,100,0.3,1,1,11.8926,11.4521,6.98023,0,0.977222,0.440476,0.400866,0.0343861,673,358,155548,155498,10,331,4575096,269,1545320
uniprot_r539166_c223,539166,100,0.3,1,1,11.8978,11.4425,6.96457,0,0.978193,0.455288,0.405047,0.0444227,1167,379,155615,155498,10,362,5408096,269,1545388
uniprot_r539166_c223,539166,100,0.3,1,1,11.867,11.433,6.96378,0,0.978137,0.433953,0.393552,0.0351824,714,409,155557,155498,10,373,4710281,269,1545020
uniprot_r539166_c223,539166,100,0.3,1,1,11.8714,11.4352,6.96831,0,0.979013,0.436224,0.391868,0.038156,319,382,155566,155498,10,346,3841258,269,1545248
uniprot_r539166_c223,539166,100,0.3,1,1,11.8648,11.4643,6.98979,0,0.97718,0.400455,0.385551,0.0108945,130,343,155550,155498,10,327,2075277,269,1545320
uniprot_r539166_c223,539166,100,0.3,1,1,11.9049,11.4534,6.98687,0,0.978335,0.451512,0.401646,0.0437492,621,376,155584,155498,10,358,5185086,269,1545268
uniprot_r539166_c223,539166,100,0.3,1,1,11.8604,11.4427,6.97152,0,0.977247,0.417634,0.388775,0.0246019,245,355,155563,155498,10,336,2451359,269,1545240
uniprot_r539166_c223,539166,100,0.3,1,1,11.8612,11.4311,6.95796,0,0.980874,0.430091,0.392086,0.0318024,269,350,155578,155498,10,334,3496917,269,1545228
uniprot_r539166_c223,539166,100,0.3,1,1,11.8866,11.4477,6.97935,0,0.977219,0.438938,0.397107,0.034365,421,376,155574,155498,10,342,3964430,269,1544988
uniprot_r539166_c223,539166,100,0.3,1,1,11.8773,11.4621,6.99759,0,0.977713,0.415203,0.395814,0.0150229,588,401,155562,155498,10,364,1802422,269,1545180
uniprot_r539166_c223,539166,100,0.3,1,1,11.8485,11.4208,6.9673,0,0.976698,0.427697,0.395548,0.0270872,354,377,155571,155498,10,360,2965024,269,1545016
uniprot_r539166_c223,539166,100,0.3,1,1,11.8905,11.4356,6.96903,0,0.97842,0.454917,0.4089,0.0403487,944,430,155578,155498,10,381,5914403,269,1545192
uniprot_r539166_c223,539166,100,0.3,1,1,11.8653,11.4329,6.96838,0,0.983935,0.432372,0.39273,0.0339767,591,412,155579,155498,10,382,3136049,269,1545388
uniprot_r539166_c223,539166,100,0.3,1,1,11.8986,11.4414,6.98458,0,0.976087,0.457259,0.398881,0.051454,889,366,155594,155498,10,337,5121124,269,1545232
uniprot_r539166_c223,539166,120,0.3,1,1,12.9467,12.2914,7.63182,0,1.0419,0.655245,0.589768,0.0579886,561,355,198869,198791,11,342,5493161,279,1707024
uniprot_r539166_c223,539166,120,0.3,1,1,12.9341,12.2961,7.58236,0,1.04016,0.637978,0.591141,0.0402676,1059,401,198894,198791,11,384,3568540,279,1706980
uniprot_r539166_c223,539166,120,0.3,1,1,12.9112,12.2187,7.56927,0,1.04538,0.692486,0.618938,0.0657284,1151,461,198890,198791,11,422,8338252,279,1706868
uniprot_r539166_c223,539166,120,0.3,1,1,12.8546,12.2183,7.56647,0,1.03826,0.636365,0.582445,0.0461054,802,472,198845,198791,11,459,5265538,279,1706956
uniprot_r539166_c223,539166,120,0.3,1,1,12.9325,12.235,7.57266,0,1.04404,0.697529,0.618332,0.0695343,825,409,198871,198791,11,384,6439488,279,1706812
uniprot_r539166_c223,539166,120,0.3,1,1,12.8335,12.2198,7.56277,0,1.03781,0.61377,0.576331,0.0314443,341,405,198849,198791,11,372,3595384,279,1706984
uniprot_r539166_c223,539166,120,0.3,1,1,12.8817,12.2586,7.60084,0,1.04244,0.623093,0.589632,0.0222409,171,389,198872,198791,11,379,1582614,279,1706960
uniprot_r539166_c223,539166,120,0.3,1,1,12.8343,12.2342,7.57803,0,1.04285,0.600131,0.58398,0.0123625,918,408,198895,198791,11,345,1355513,279,1707032
