dataset,rows,cols,sample_exponent,copy_PLIs,tiebreaker_heuristic,t_total,t_total_prep,t_read_table,t_create_subtable,t_construct_clusters,t_total_enum_algo,t_sample_diff_sets,t_intersect_clusters,tree_complexity,tree_nodes,diff_sets,diff_sets_initial,diff_sets_final,intersections,intersection_cluster_size,ucc_count,memory
ncvoter_r8060060_c19,8060060,19,0.3,1,0,45.7843,35.3287,22.8233,0,3.37194,10.4556,0.092386,9.04087,905,380,103873,103563,50,335,231330027,96,4225732
ncvoter_r8060060_c19,8060060,19,0.3,1,0,52.6669,35.3838,22.8588,0,3.37006,17.2831,0.0930138,16.0037,917,370,103835,103563,50,318,301847403,96,4225616
ncvoter_r8060060_c19,8060060,19,0.3,1,0,49.5092,35.3302,22.8334,0,3.36763,14.179,0.0908978,13.2447,959,353,103799,103563,50,319,256247973,96,4225616
ncvoter_r8060060_c19,8060060,19,0.3,1,0,51.8516,34.8823,22.5761,0,3.29772,16.9693,0.0925442,14.9388,820,346,103813,103563,50,309,349475359,96,4225944
ncvoter_r8060060_c19,8060060,19,0.3,1,0,55.4094,34.8356,22.5327,0,3.30426,20.5738,0.0907773,17.9878,890,332,103805,103563,50,295,372174120,96,4225828
ncvoter_r8060060_c19,8060060,19,0.3,1,0,56.8613,34.8291,22.5276,0,3.30043,22.0322,0.091056,19.2734,1281,406,103860,103563,50,336,416528765,96,4225732
ncvoter_r8060060_c19,8060060,19,0.3,1,0,53.209,34.8761,22.5748,0,3.30397,18.3329,0.0955069,16.9921,914,373,103840,103563,50,326,297320557,96,4225856
ncvoter_r8060060_c19,8060060,19,0.3,1,0,47.3905,34.8865,22.5881,0,3.29883,12.504,0.091449,11.8711,591,319,103817,103563,50,293,185942007,96,4225728
ncvoter_r8060060_c19,8060060,19,0.3,1,0,53.9172,34.8852,22.5738,0,3.29947,19.032,0.090625,17.7406,1267,412,103846,103563,50,339,329005707,96,4225788
ncvoter_r8060060_c19,8060060,19,0.3,1,0,51.8789,34.826,22.5198,0,3.30262,17.053,0.0927781,16.0854,969,397,103897,103563,50,358,278171740,96,4225904
ncvoter_r8060060_c19,8060060,19,0.3,1,0,54.9337,34.9248,22.578,0,3.30264,20.0089,0.095688,18.6785,906,392,103819,103563,50,333,311417720,96,4225620
ncvoter_r8060060_c19,8060060,19,0.3,1,0,51.3733,35.022,22.6049,0,3.32656,16.3513,0.0906853,15.0486,1006,400,103848,103563,50,342,301257820,96,4225816
ncvoter_r8060060_c19,8060060,19,0.3,1,0,54.5185,34.8709,22.5733,0,3.30204,19.6476,0.0909942,18.1759,922,352,103794,103563,50,311,308506844,96,4225604
ncvoter_r8060060_c19,8060060,19,0.3,1,0,49.8335,34.8756,22.5549,0,3.30634,14.9579,0.0916096,14.0682,922,368,103852,103563,50,313,255760971,96,4225840
ncvoter_r8060060_c19,8060060,19,0.3,1,0,53.2131,34.8864,22.557,0,3.31164,18.3267,0.0904943,17.1118,996,400,103798,103563,50,343,299515544,96,4225824
ncvoter_r8060060_c19,8060060,19,0.3,1,0,60.6736,35.311,22.8162,0,3.37263,25.3626,0.0947416,23.1742,865,354,103814,103563,50,316,367748211,96,4225844
ncvoter_r8060060_c19,8060060,19,0.3,1,0,48.8475,35.3089,22.8012,0,3.37159,13.5386,0.0913824,11.9324,772,362,103846,103563,50,327,305499143,96,4225768
ncvoter_r8060060_c19,8060060,19,0.3,1,0,54.82,35.3144,22.8375,0,3.37358,19.5056,0.0922657,17.1469,995,385,103855,103563,50,337,354340817,96,4225828
ncvoter_r8060060_c19,8060060,19,0.3,1,0,56.7342,35.3049,22.8256,0,3.36773,21.4293,0.0923731,19.0267,1009,373,103859,103563,50,325,385992892,96,4225864
ncvoter_r8060060_c19,8060060,19,0.3,1,0,54.1293,35.3172,22.8607,0,3.36883,18.8121,0.0930211,17.6615,892,361,103811,103563,50,325,325083046,96,4225616
ncvoter_r8060060_c19,8060060,19,0.3,1,0,50.5992,35.3718,22.8716,0,3.37097,15.2273,0.0927938,14.1858,977,380,103839,103563,50,326,303826662,96,4225932
ncvoter_r8060060_c19,8060060,19,0.3,1,0,51.4539,34.9216,22.5735,0,3.31089,16.5322,0.0929323,15.1149,1020,383,103903,103563,50,330,333983812,96,4225852
