dataset,rows,cols,sample_exponent,copy_PLIs,tiebreaker_heuristic,t_total,t_total_prep,t_read_table,t_create_subtable,t_construct_clusters,t_total_enum_algo,t_sample_diff_sets,t_intersect_clusters,tree_complexity,tree_nodes,diff_sets,diff_sets_initial,diff_sets_final,intersections,intersection_cluster_size,ucc_count,memory
struct_sheet_range_r664128_c32,664128,32,0.1,1,1,4.37769,3.94809,2.25671,0,0.446254,0.429597,0.00909993,0.402421,77,225,262,244,6,213,27808714,167,622956
struct_sheet_range_r664128_c32,664128,32,0.1,1,1,4.38047,3.95735,2.26196,0,0.448932,0.423124,0.00892559,0.396041,82,231,256,244,6,213,27808714,167,623028
struct_sheet_range_r664128_c32,664128,32,0.1,1,1,4.52741,3.95245,2.2595,0,0.446043,0.574963,0.00993562,0.538262,81,227,260,244,6,214,36053411,167,622928
struct_sheet_range_r664128_c32,664128,32,0.1,1,1,4.56387,3.9777,2.28099,0,0.450847,0.586165,0.0090384,0.546711,91,225,256,244,6,213,38887022,167,623012
struct_sheet_range_r664128_c32,664128,32,0.1,1,1,4.54467,3.96151,2.26002,0,0.447314,0.583155,0.00970621,0.551493,77,226,268,244,6,214,38853414,167,622768
struct_sheet_range_r664128_c32,664128,32,0.2,1,1,4.09308,3.93979,2.24583,0,0.445394,0.153287,0.0100241,0.139997,47,205,2317,2312,6,203,9943052,167,622980
struct_sheet_range_r664128_c32,664128,32,0.2,1,1,4.4419,3.94928,2.25405,0,0.445848,0.49262,0.0107852,0.46365,79,224,2343,2312,6,211,31816656,167,622956
struct_sheet_range_r664128_c32,664128,32,0.2,1,1,4.12506,3.95156,2.25605,0,0.448026,0.173502,0.0100376,0.151618,67,216,2323,2312,6,206,11925966,167,623028
struct_sheet_range_r664128_c32,664128,32,0.2,1,1,4.14521,3.97214,2.27029,0,0.450559,0.173064,0.0101448,0.151306,67,216,2323,2312,6,206,11925966,167,622924
struct_sheet_range_r664128_c32,664128,32,0.2,1,1,4.29046,3.96164,2.26561,0,0.447153,0.328826,0.0107806,0.304474,92,225,2342,2312,6,209,22919971,167,623020
struct_sheet_range_r664128_c32,664128,32,0.3,1,1,4.13231,3.96494,2.26819,0,0.446658,0.167369,0.0268504,0.137301,47,205,24403,24395,6,203,9943052,167,622980
struct_sheet_range_r664128_c32,664128,32,0.3,1,1,4.12375,3.95555,2.25714,0,0.449107,0.168202,0.0268209,0.138082,47,205,24403,24395,6,203,9943052,167,622936
