dataset,rows,cols,hyucc_t_total_ms,hyucc_memory,hyucc_ucc_count,hyucc_t_safepoint_ns
VTTS_r13042057_c75,4000000,75,130700,10436524,2,2082921224
VTTS_r13042057_c75,4000000,75,132823,10474688,2,2091810901
VTTS_r13042057_c75,5000000,75,132492,12681140,2,3749601158
VTTS_r13042057_c75,5000000,75,161869,12680540,2,3671520058
VTTS_r13042057_c75,5000000,75,165157,12330360,2,3548119498
VTTS_r13042057_c75,5000000,75,163542,12426368,2,3709463936
VTTS_r13042057_c75,5000000,75,164831,12569676,2,3756329504
VTTS_r13042057_c75,6000000,75,200061,12910340,2,3617124803
VTTS_r13042057_c75,6000000,75,197535,13012204,2,3633485467
VTTS_r13042057_c75,6000000,75,196753,12775672,2,3549291283
VTTS_r13042057_c75,6000000,75,200043,12587768,2,3431717748
VTTS_r13042057_c75,6000000,75,198851,12925916,2,3627128791
VTTS_r13042057_c75,7000000,75,232010,14196840,2,5438236047
VTTS_r13042057_c75,7000000,75,231795,14151668,2,5333665820
VTTS_r13042057_c75,7000000,75,229379,14013236,2,5555298116
VTTS_r13042057_c75,7000000,75,185072,14037680,2,5462027801
VTTS_r13042057_c75,7000000,75,184979,14314960,2,5646819251
VTTS_r13042057_c75,8000000,75,259292,16471380,2,5262613451
VTTS_r13042057_c75,8000000,75,263199,13404740,2,5277340738
VTTS_r13042057_c75,8000000,75,259461,13410792,2,5280650945
VTTS_r13042057_c75,8000000,75,261079,16509872,2,5375585195
VTTS_r13042057_c75,8000000,75,211534,13356448,2,5208834548
VTTS_r13042057_c75,9000000,75,291117,17921972,2,8329041428
VTTS_r13042057_c75,9000000,75,300047,15927728,2,6373246818
VTTS_r13042057_c75,9000000,75,302094,15971852,2,6029694474
VTTS_r13042057_c75,9000000,75,301238,15789932,2,5739097867
VTTS_r13042057_c75,9000000,75,300227,15918868,2,6375140218
VTTS_r13042057_c75,10000000,75,266927,19073232,2,8465452270
VTTS_r13042057_c75,10000000,75,331221,19064104,2,8360809952
VTTS_r13042057_c75,10000000,75,328494,19069724,2,8359688911
VTTS_r13042057_c75,10000000,75,327397,19178876,2,9105207459
VTTS_r13042057_c75,10000000,75,267515,19187304,2,9106997084
lineitem_r6001215_c16,500000,16,17273,2397052,308,191704285
lineitem_r6001215_c16,500000,16,17189,2401392,308,190126770
lineitem_r6001215_c16,500000,16,17156,2368716,308,189309011
lineitem_r6001215_c16,500000,16,17013,2468128,308,193384261
lineitem_r6001215_c16,500000,16,17106,2420764,308,192120252
lineitem_r6001215_c16,1000000,16,50014,2860712,370,983193904
lineitem_r6001215_c16,1000000,16,50526,2925296,370,964390715
lineitem_r6001215_c16,1000000,16,50017,2820960,370,981036744
lineitem_r6001215_c16,1000000,16,49849,2863544,370,976066331
lineitem_r6001215_c16,1000000,16,50183,2867752,370,970876634
lineitem_r6001215_c16,1500000,16,84013,2730524,387,751674622
lineitem_r6001215_c16,1500000,16,84323,2937984,387,744919705
lineitem_r6001215_c16,1500000,16,85299,2824008,387,750582600
lineitem_r6001215_c16,1500000,16,84700,2675044,387,762024500
lineitem_r6001215_c16,1500000,16,85220,2733716,387,753491235
lineitem_r6001215_c16,2000000,16,118091,3388412,399,984337792
lineitem_r6001215_c16,2000000,16,117493,3237024,399,971005343
lineitem_r6001215_c16,2000000,16,118161,3510020,399,1047388069
lineitem_r6001215_c16,2000000,16,117753,3157064,399,877198574
